Title,Genre,Runtime,imdbRating,Year
Anytime Anyplace,"Adult, Comedy, Crime",92,7.7,1981
The Devil in Miss Jones 4: The Final Outrage,"Adult, Comedy, Fantasy",66,6.6,1986
Shiela's Payoff,"Adult, Crime",58,6.2,1977
Pornography in Denmark: A New Approach,"Adult, Documentary",90,5.7,1970
Little Girls Blue Part 2,"Adult, Drama",82,6.8,1983
Cecilia,"Adult, Drama, Romance",97,4,1983
Porno Holocaust,"Adult, Horror",113,3.1,1981
Lilian (la virgen pervertida),"Adult, Horror, Thriller",79,4.9,1984
Johnny Wadd,"Adult, Mystery",71,6.3,1971
Cabaret Sin,"Adult, Sci-Fi",85,5.5,1987
Heather Hunted,"Adult, Thriller",81,7.3,1990
Safari Drums,Adventure,71,5.2,1953
Terror in the Jungle,Adventure,84,3.6,1968
Lo sceicco rosso,Adventure,90,4,1962
Agguato sul Bosforo,Adventure,92,4.8,1969
Haci Murat,Adventure,95,6.1,1967
Hotel Colonial,Adventure,104,3.7,1987
Yu mian hu,Adventure,105,6.7,1971
Tri mushketera,Adventure,112,3.8,2013
Justine: Wild Nights,Adventure,113,5.6,1995
Kaizoku-sen,Adventure,114,7.1,1951
Cyrano et d'Artagnan,Adventure,145,6.6,1964
D'Artagnan et les trois mousquetaires,Adventure,210,5.3,2005
Strange Wilderness,"Adventure, Comedy",87,5.3,2008
Wu di fan dou xing,"Adventure, Comedy",89,5.4,1995
Marrakech Express,"Adventure, Comedy",110,7.4,1989
My Lucky Star,"Adventure, Comedy",114,5.1,2013
Modesty Blaise,"Adventure, Comedy",119,5.2,1966
Agente 00 Sexy,"Adventure, Comedy, Action",105,5.7,1968
Trash,"Adventure, Comedy, Crime",114,7.2,2014
Spy School,"Adventure, Comedy, Drama",86,4.8,2008
American Joyride,"Adventure, Comedy, Drama",95,4.6,2011
The Gold Rush,"Adventure, Comedy, Drama",95,8.3,1925
Tangled Up in Blue,"Adventure, Comedy, Drama",97,8.3,2011
Tennessee,"Adventure, Comedy, Drama",99,5.5,2008
Candleshoe,"Adventure, Comedy, Drama",101,6.7,1977
The Hunting Party,"Adventure, Comedy, Drama",101,6.9,2007
The Brothers Bloom,"Adventure, Comedy, Drama",114,6.9,2008
The Parent Trap,"Adventure, Comedy, Drama",127,6.4,1998
Zindagi Na Milegi Dobara,"Adventure, Comedy, Drama",155,8.1,2011
Dibu 3,"Adventure, Comedy, Family",80,3.6,2002
Dr. Seuss' The Cat in the Hat,"Adventure, Comedy, Family",82,3.8,2003
Kids of the Round Table,"Adventure, Comedy, Family",89,5,1995
Herbie Fully Loaded,"Adventure, Comedy, Family",101,4.7,2005
Your Highness,"Adventure, Comedy, Fantasy",102,5.6,2011
Adventurados,"Adventure, Comedy, Sci-Fi",86,6.3,2015
A spasso nel tempo,"Adventure, Comedy, Sci-Fi",94,3.7,1996
Dans une galaxie príÂs de chez vous - Le film,"Adventure, Comedy, Sci-Fi",109,7,2004
Minchina Oata,"Adventure, Crime",135,8.1,1981
Kiskivrak,"Adventure, Crime, Drama",85,4.6,1986
The Savage Innocents,"Adventure, Crime, Drama",110,7.2,1960
Pursuit to Algiers,"Adventure, Crime, Mystery",65,7.2,1945
Mystery Plane,"Adventure, Crime, Romance",60,4.9,1939
Picture Brides,"Adventure, Crime, Romance",66,5.8,1934
Appointment in Honduras,"Adventure, Crime, Thriller",79,5.7,1953
Katircilar,"Adventure, Drama",86,7,1987
The Celestine Prophecy,"Adventure, Drama",99,4.9,2006
The Great Waldo Pepper,"Adventure, Drama",107,6.6,1975
The Savage Is Loose,"Adventure, Drama",114,5.4,1974
La punyalada,"Adventure, Drama",117,7.6,1990
Kikkerdril,"Adventure, Drama, Family",75,6.6,2009
The Legend of Longwood,"Adventure, Drama, Family",99,6.7,2014
Primo Baby,"Adventure, Drama, Family",107,6.3,1990
Hugo,"Adventure, Drama, Family",126,7.6,2011
The Magic Sword,"Adventure, Drama, Fantasy",80,4.2,1962
Big Fish,"Adventure, Drama, Fantasy",125,8,2003
Big Fish,"Adventure, Drama, Fantasy",125,8,2003
Big Fish,"Adventure, Drama, Fantasy",125,8,2003
Sodom and Gomorrah,"Adventure, Drama, History",154,5.8,1962
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",224,8.2,2001
Dreaming Lhasa,"Adventure, Drama, Mystery",90,6.5,2005
Demekingu,"Adventure, Drama, Mystery",99,5.5,2009
Dangerous Exile,"Adventure, Drama, Romance",88,5.4,1957
The Martian,"Adventure, Drama, Sci-Fi",144,8.3,2015
The Cut-Throats,"Adventure, Drama, Thriller",75,4.7,1969
Ice Station Zebra,"Adventure, Drama, Thriller",148,6.6,1968
Caballo prieto azabache,"Adventure, Drama, War",85,5.7,1968
The Purple Plain,"Adventure, Drama, War",100,6.6,1954
"Juan Charrasqueado y Gabino Barrera, su verdadera historia","Adventure, Drama, War",105,6.3,1982
El charro Negro contra la banda de los cuervos,"Adventure, Drama, Western",87,6.3,1963
Die Reise nach Sundevit,"Adventure, Family",75,6.8,1966
Cheetah,"Adventure, Family",83,6.1,1989
Pyatnadtsatiletniy kapitan,"Adventure, Family",83,7.4,1946
The Oogieloves in the Big Balloon Adventure,"Adventure, Family",88,7.2,2012
Arizona Summer,"Adventure, Family, Comedy",102,4.7,2004
The Gnome-Mobile,"Adventure, Family, Fantasy",84,6.5,1967
Alice in Wonderland,"Adventure, Family, Fantasy",108,6.5,2010
Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy",161,7.3,2002
Sihirbazlar Krali Mandrake Killing'in pesinde,"Adventure, Fantasy",56,6.4,1967
The Land That Time Forgot,"Adventure, Fantasy",90,5.7,1975
Matusalem II: le dernier des Beauchesne,"Adventure, Fantasy",98,5,1997
The Lost World,"Adventure, Fantasy",106,7.1,1925
Sheena,"Adventure, Fantasy",117,4.7,1984
The Lord of the Rings: The Two Towers,"Adventure, Fantasy",179,8.7,2002
The Beast Pageant,"Adventure, Fantasy, Musical",74,7.6,2010
Ali Baba and the Forty Thieves,"Adventure, Fantasy, Romance",87,6.4,1944
Legend,"Adventure, Fantasy, Romance",89,6.5,1985
Ori okeanis saidumloeba (2-seria),"Adventure, Fantasy, Sci-Fi",68,4.8,1957
